0 7 31 45 30 22 56 20 46 42 41 23 6 17 36 12 33 10 47 54 39 61 21 52 50 35 13 38 28 62 34 44 14 60 37 29 53 5 9 16 18 24 1 4 43 59 32 8 27 63 2 19 25 51 15 55 58 26 48 40 49 3 57 11
0 32 29 26 38 2 19 36 12 39 11 16 24 1 44 8 42 27 57 54 5 51 3 59 6 40 48 10 33 46 63 50 60 4 41 28 49 53 30 37 61 22 18 25 34 13 9 14 21 20 47 55 31 15 17 58 7 35 62 23 56 52 43 45
0 32 29 26 38 2 19 36 12 39 11 16 42 27 57 44 54 31 55 47 20 6 40 48 10 33 46 63 50 60 4 24 5 51 3 59 21 1 14 9 13 34 25 18 22 61 37 30 53 49 28 41 23 8 62 35 7 58 17 15 56 52 43 45
0 32 29 26 38 2 19 36 12 42 27 57 44 5 51 3 59 6 40 48 39 11 16 54 10 33 46 63 50 60 4 24 31 55 47 20 21 1 14 9 13 34 25 18 22 61 37 30 53 45 43 52 8 28 35 41 7 23 58 17 15 49 56 62
0 18 25 34 13 9 14 1 21 20 47 11 55 39 31 24 32 29 26 38 2 19 22 61 37 27 57 44 5 51 3 59 6 40 48 16 54 10 33 46 63 50 60 4 36 12 42 30 53 49 28 41 62 8 23 56 15 17 58 7 35 52 43 45
0 18 25 63 50 60 4 22 61 37 30 53 49 34 13 9 14 1 21 20 47 11 55 39 31 24 32 29 26 38 2 19 36 12 42 27 57 44 5 51 3 59 6 40 48 16 54 10 33 46 28 41 62 8 23 56 15 17 58 7 35 52 43 45
0 18 25 34 13 9 14 30 21 20 47 11 55 39 31 24 32 29 57 27 42 12 36 19 2 38 26 59 6 40 48 16 54 10 33 46 63 50 60 4 1 22 61 44 5 51 3 37 53 49 28 41 62 8 23 56 15 17 58 7 35 52 43 45
0 18 25 34 13 9 14 1 21 32 29 26 38 2 19 36 12 42 27 57 20 47 11 55 39 31 24 44 5 51 3 59 6 40 48 16 54 10 33 46 63 49 60 45 43 22 61 37 30 53 28 50 4 41 62 8 23 56 15 17 58 7 35 52
0 18 25 34 13 9 14 1 26 38 2 19 36 12 16 42 27 57 30 21 20 47 11 55 39 31 24 32 29 22 61 44 5 51 3 37 53 49 54 10 33 46 63 50 60 45 43 59 6 40 48 4 41 28 62 8 23 56 15 17 58 7 35 52
0 18 25 41 4 6 40 48 28 62 8 23 56 15 34 13 9 14 1 21 20 47 11 55 32 26 38 2 19 36 12 16 42 27 57 30 39 31 24 29 22 61 44 5 51 3 37 53 49 54 10 33 46 63 50 60 59 17 45 43 52 35 7 58
0 18 25 52 35 7 58 17 15 56 23 8 62 41 28 48 40 6 59 34 13 9 14 1 21 32 29 24 33 60 20 47 11 55 39 57 27 42 12 36 19 4 50 63 46 10 54 49 53 37 3 51 5 44 61 22 31 30 16 2 38 26 43 45
0 18 25 39 55 11 47 20 57 27 42 12 36 19 4 7 35 62 8 23 56 15 34 13 9 14 1 21 24 33 32 31 30 29 3 37 53 49 28 41 17 58 16 54 10 46 63 50 60 22 61 44 5 26 6 40 48 38 2 51 59 45 43 52
0 18 25 39 55 11 47 20 57 27 42 12 36 19 4 7 35 62 8 23 56 15 34 13 9 14 1 52 41 28 48 40 6 58 17 22 61 37 30 51 5 44 24 21 33 32 60 26 38 2 16 31 29 3 53 49 54 10 46 63 50 59 43 45
0 18 25 39 55 11 47 20 57 27 42 12 36 19 4 7 35 62 8 23 56 15 34 13 9 14 1 52 41 28 48 40 6 58 17 22 61 37 30 51 5 44 24 21 33 32 60 26 38 2 16 31 29 3 53 49 54 10 46 63 50 59 43 45
0 18 25 52 35 7 58 17 15 56 23 8 62 41 28 48 40 6 39 55 11 47 20 57 27 42 12 36 19 4 1 14 22 61 37 30 51 34 13 9 5 44 24 21 33 32 60 26 38 2 16 31 29 3 53 49 54 10 46 63 50 59 43 45
0 18 25 52 35 7 58 17 39 55 11 47 20 57 27 15 56 23 8 62 41 28 48 40 6 42 12 36 19 4 1 14 34 22 61 37 30 51 5 44 24 13 9 21 33 32 60 26 38 2 16 31 29 3 53 49 54 10 46 63 50 45 43 59
0 18 25 52 35 7 58 17 39 55 11 47 20 57 27 15 56 23 8 62 41 28 48 40 6 42 12 36 19 4 1 14 34 22 61 37 30 51 5 44 24 13 9 21 33 32 60 26 38 2 16 31 29 3 53 49 54 10 46 63 50 45 43 59
0 18 25 52 35 7 58 17 39 55 11 47 20 57 27 15 56 23 8 62 41 28 48 40 6 42 12 36 19 4 1 14 22 61 37 30 51 34 5 44 13 9 21 24 33 32 31 29 3 53 59 26 38 2 16 49 54 10 46 63 50 60 43 45
0 18 25 52 35 7 58 17 31 29 3 53 49 54 10 46 15 39 55 11 47 20 57 27 56 23 8 62 42 48 40 6 28 41 12 36 19 4 1 14 22 61 37 30 51 34 5 44 24 13 9 21 33 32 60 26 38 2 16 63 50 59 43 45
0 18 25 52 35 7 39 55 11 47 20 57 27 56 15 17 58 23 42 48 40 6 28 8 62 41 12 36 19 4 1 14 22 61 37 30 51 34 13 9 5 44 24 21 33 32 60 26 38 2 16 31 29 3 53 49 54 10 46 63 50 59 43 45
0 18 7 35 52 41 62 8 23 16 2 38 26 25 58 17 39 55 46 11 47 20 57 27 15 56 42 48 40 6 28 12 36 19 4 1 14 22 61 37 30 51 34 13 9 5 44 24 21 33 31 32 29 3 60 53 49 54 10 63 50 59 43 45
